Library + Lua 5.2.0,global table,table chain,c function call,lua function call,C++ object member call,Returning a class object,std random(C++11) bind
plain api,380,770,280,1300,1560,2970,1490
plain api(*1),360,750,270,1290,720,2250,460
kaguya,620,1050,300,1320,1360,2960,920
Selene,3490,9240,380,2960,2660,4390,2000
sol(*1),510,3530,320,1150,3120,2820,
sol2(*1),440,740,300,1160,840,2830,490
luwra,500,890,290,1200,1600,3060,1210
lua-intf,1350,2520,330,1280,2900,3500,1710
luabind-deboostified,650,1270,370,1420,2140,4840,1180
luacppinterface(*1),1050,7890,720,1310,1160,,
